row_id,issue
107,last_review_date missing/unparseable
108,Directory-only website
108,Missing booking_url
108,last_review_date missing/unparseable
108,Duplicate email
108,Duplicate domain
109,Missing booking_url
109,last_review_date missing/unparseable
109,Duplicate email
109,Duplicate domain
109,Duplicate phone
110,Missing booking_url
110,last_review_date missing/unparseable
111,Missing booking_url
111,last_review_date missing/unparseable
112,Missing booking_url
112,last_review_date missing/unparseable
113,Missing booking_url
113,last_review_date missing/unparseable
114,Missing booking_url
114,last_review_date missing/unparseable
115,Website missing
115,Missing booking_url
115,last_review_date missing/unparseable
116,Missing booking_url
116,last_review_date missing/unparseable
117,Website missing
117,Missing booking_url
117,last_review_date missing/unparseable
118,Missing booking_url
118,last_review_date missing/unparseable
118,Duplicate email
118,Duplicate domain
119,Missing booking_url
119,last_review_date missing/unparseable
119,Duplicate email
120,Website missing
120,Missing booking_url
120,last_review_date missing/unparseable
121,Missing booking_url
121,last_review_date missing/unparseable
121,Duplicate email
122,Missing booking_url
122,last_review_date missing/unparseable
123,Missing booking_url
123,last_review_date missing/unparseable
124,Missing booking_url
124,last_review_date missing/unparseable
125,Missing booking_url
125,last_review_date missing/unparseable
125,Duplicate email
126,Missing booking_url
126,last_review_date missing/unparseable
127,Website missing
127,Missing booking_url
127,last_review_date missing/unparseable
128,Missing booking_url
128,last_review_date missing/unparseable
129,Missing booking_url
129,last_review_date missing/unparseable
130,Missing booking_url
130,last_review_date missing/unparseable
131,Website missing
131,Missing booking_url
131,last_review_date missing/unparseable
132,Missing booking_url
132,last_review_date missing/unparseable
133,Missing booking_url
133,last_review_date missing/unparseable
133,Duplicate email
134,Missing booking_url
134,last_review_date missing/unparseable
135,Missing booking_url
135,last_review_date missing/unparseable
135,Duplicate email
136,Missing booking_url
136,last_review_date missing/unparseable
137,Missing booking_url
137,last_review_date missing/unparseable
138,Missing booking_url
138,last_review_date missing/unparseable
139,Missing booking_url
139,last_review_date missing/unparseable
140,Missing booking_url
140,last_review_date missing/unparseable
141,Missing booking_url
141,last_review_date missing/unparseable
141,Duplicate domain
142,Missing booking_url
142,last_review_date missing/unparseable
142,Duplicate email
143,Missing booking_url
143,last_review_date missing/unparseable
144,Missing booking_url
144,last_review_date missing/unparseable
145,Missing booking_url
145,last_review_date missing/unparseable
146,Website missing
146,Missing booking_url
146,last_review_date missing/unparseable
147,Missing booking_url
147,last_review_date missing/unparseable
148,Missing booking_url
148,last_review_date missing/unparseable
149,Missing booking_url
149,last_review_date missing/unparseable
150,Missing booking_url
150,last_review_date missing/unparseable
151,Missing booking_url
151,last_review_date missing/unparseable
152,Missing booking_url
152,last_review_date missing/unparseable
153,Missing booking_url
153,last_review_date missing/unparseable
154,Missing booking_url
154,last_review_date missing/unparseable
154,Duplicate domain
155,Missing booking_url
155,last_review_date missing/unparseable
156,Missing booking_url
156,last_review_date missing/unparseable
157,Missing booking_url
157,last_review_date missing/unparseable
157,Duplicate email
157,Duplicate domain
158,Missing booking_url
158,last_review_date missing/unparseable
159,Missing booking_url
159,last_review_date missing/unparseable
160,Missing booking_url
160,last_review_date missing/unparseable
160,Duplicate email
161,Website missing
161,Missing booking_url
161,last_review_date missing/unparseable
162,Missing booking_url
162,last_review_date missing/unparseable
163,Website missing
163,Missing booking_url
163,last_review_date missing/unparseable
164,Missing booking_url
164,last_review_date missing/unparseable
165,Missing booking_url
165,last_review_date missing/unparseable
166,Missing booking_url
166,last_review_date missing/unparseable
167,Missing booking_url
167,last_review_date missing/unparseable
167,Duplicate email
167,Duplicate phone
168,Website missing
168,Missing booking_url
168,last_review_date missing/unparseable
169,Missing booking_url
169,last_review_date missing/unparseable
170,Missing booking_url
170,last_review_date missing/unparseable
171,Missing booking_url
171,last_review_date missing/unparseable
172,Directory-only website
172,Missing booking_url
172,last_review_date missing/unparseable
172,Duplicate domain
173,Missing booking_url
173,last_review_date missing/unparseable
174,Missing booking_url
174,last_review_date missing/unparseable
174,Duplicate email
174,Duplicate domain
175,Missing booking_url
175,last_review_date missing/unparseable
175,Duplicate email
176,Website missing
176,Missing booking_url
176,last_review_date missing/unparseable
177,Website missing
177,Missing booking_url
177,last_review_date missing/unparseable
178,Missing booking_url
178,last_review_date missing/unparseable
179,Missing booking_url
179,last_review_date missing/unparseable
180,Missing booking_url
180,last_review_date missing/unparseable
181,Missing booking_url
181,last_review_date missing/unparseable
182,Missing booking_url
182,last_review_date missing/unparseable
183,Missing booking_url
183,last_review_date missing/unparseable
184,Missing booking_url
184,last_review_date missing/unparseable
185,Missing booking_url
185,last_review_date missing/unparseable
186,Missing booking_url
186,last_review_date missing/unparseable
187,Missing booking_url
187,last_review_date missing/unparseable
188,Missing booking_url
188,last_review_date missing/unparseable
189,Missing booking_url
189,last_review_date missing/unparseable
190,Website missing
190,Missing booking_url
190,last_review_date missing/unparseable
191,Missing booking_url
191,last_review_date missing/unparseable
192,Missing booking_url
192,last_review_date missing/unparseable
193,Missing booking_url
193,last_review_date missing/unparseable
194,Missing booking_url
194,last_review_date missing/unparseable
195,Missing booking_url
195,last_review_date missing/unparseable
196,Website missing
196,Missing booking_url
196,last_review_date missing/unparseable
196,Duplicate email
197,Missing booking_url
197,last_review_date missing/unparseable
198,Missing booking_url
198,last_review_date missing/unparseable
199,Missing booking_url
199,last_review_date missing/unparseable
200,Missing booking_url
200,last_review_date missing/unparseable
200,Duplicate email
200,Duplicate domain
200,Duplicate phone
201,Missing booking_url
201,last_review_date missing/unparseable
202,Missing booking_url
